Unit_ID,geog_type,geog_id,Population,Latitude,Longitude
615138,blockgroup,401139400102,2918,36.39286001,-96.02395821
29672,blockgroup,40130610303,2925,33.61630113,-112.432364
211226,blockgroup,371010415022,2928,35.54402811,-78.614445
213486,blockgroup,550250133022,2931,43.24849029,-89.35621012
207344,blockgroup,81010029171,2935,38.28846392,-104.71788
799882,blockgroup,291833120951,2936,38.82872755,-90.79279699
6530,blockgroup,291833120951,2936,38.82872755,-90.79279699
9614,blockgroup,550250107021,2936,42.97288843,-89.50049807
798386,blockgroup,250235052003,2939,42.19159874,-70.74698099
548,blockgroup,60855050062,2939,37.38553261,-121.9213124
27153,blockgroup,80350144051,2939,39.412263,-104.9058312
8288,blockgroup,250173261012,2940,42.61178814,-71.61428997
27678,blockgroup,170978644071,2943,42.22924801,-88.0752213
7689,blockgroup,180030103072,2948,41.18463148,-85.18290384
655386,blockgroup,60730170442,2949,32.92975509,-117.0901982
798278,blockgroup,511539005012,2950,38.64243197,-77.27169327
13110,blockgroup,391650309003,2951,39.57919527,-84.21589411
9746,blockgroup,120110202071,2953,26.24612315,-80.22605333
658579,blockgroup,150010211011,2954,19.43278683,-154.9222121
658549,blockgroup,150010211011,2954,19.43278683,-154.9222121
7372,blockgroup,40131166031,2954,33.38330239,-112.2176876
235304,blockgroup,40131166031,2954,33.38330239,-112.2176876
27280,blockgroup,60376210011,2957,33.87174353,-118.3955834
661128,blockgroup,371190060071,2958,35.31095671,-80.98519505
7918,blockgroup,511099503003,2960,38.00431702,-78.22014624
9636,blockgroup,371830535222,2960,35.81626523,-78.81393199
26072,blockgroup,220330043013,2961,30.54912453,-91.0730434
207304,blockgroup,371830532031,2961,35.67254819,-78.817118
798222,blockgroup,511539014091,2962,38.76513224,-77.53517342
5774,blockgroup,170898526012,2962,41.89057217,-88.3334358
1076,blockgroup,120830027022,2962,29.11599209,-82.40447053
9165,blockgroup,250214091013,2964,42.11043749,-71.30816316
26413,blockgroup,510190301041,2973,37.35511215,-79.28785877
665188,blockgroup,481410103382,2975,31.72369277,-106.2748014
805190,blockgroup,60590218202,2976,33.87649894,-117.8336108
805646,blockgroup,401430058062,2978,36.28578191,-95.82116161
599928,blockgroup,410510099073,2978,45.47032742,-122.4217091
5726,blockgroup,484530018572,2979,30.47309051,-97.65806291
244780,blockgroup,360550141042,2981,43.19626468,-77.73489788
812004,blockgroup,450790114171,2982,34.14460985,-80.89890478
210426,blockgroup,481210201081,2983,33.20283699,-96.93296096
6486,blockgroup,481210201081,2983,33.20283699,-96.93296096
598730,blockgroup,340270456032,2983,40.86660316,-74.56502537
589746,blockgroup,340270456032,2983,40.86660316,-74.56502537
798428,blockgroup,500070031004,2987,44.45234593,-73.0561989
13472,blockgroup,410290010013,2987,42.36444628,-122.8938799
6024,blockgroup,481130166251,2990,32.59662918,-96.93112056
805666,blockgroup,482015517031,2993,29.91045247,-95.56011241
797282,blockgroup,511076110043,2994,39.04113395,-77.5114184
10488,blockgroup,420770055032,2995,40.70150434,-75.57214296
32434,blockgroup,240276069053,3000,39.13117834,-76.82084793
244918,blockgroup,420710103002,3000,40.19109025,-76.37405058
435,blockgroup,240276069053,3000,39.13117834,-76.82084793
215750,blockgroup,410670335002,3001,45.63328257,-123.1630682
7715,blockgroup,291892180113,3004,38.58637331,-90.47656703
799892,blockgroup,291892180113,3004,38.58637331,-90.47656703
26888,blockgroup,510594803001,3007,38.97467748,-77.27420223
799298,blockgroup,160270219041,3007,43.74836894,-116.7866312
10721,blockgroup,172010039032,3008,42.44317569,-88.96618731
7522,blockgroup,481130141291,3011,32.92244618,-96.9714705
797460,blockgroup,60710097161,3011,34.54474284,-117.2304686
806242,blockgroup,260937126021,3012,42.61589068,-83.83576003
7475,blockgroup,370850710011,3013,35.52167892,-78.81802604
26524,blockgroup,340230073042,3018,40.45219625,-74.27945551
5997,blockgroup,410030001004,3018,44.52970876,-123.2607512
605678,blockgroup,401450306011,3018,35.95920593,-95.71706062
27121,blockgroup,410710301023,3020,45.32237408,-122.9588636
26850,blockgroup,420430248002,3023,40.47791978,-76.84922739
28241,blockgroup,340258115011,3024,40.11636255,-74.15441618
614046,blockgroup,121270830032,3025,28.85350711,-80.88038188
12251,blockgroup,390610215082,3026,39.30330513,-84.56042056
805452,blockgroup,484910215071,3026,30.54916481,-97.68169466
8530,blockgroup,40134226441,3028,33.37166258,-111.6101301
26713,blockgroup,371350108012,3030,36.1564535,-79.19489819
14435,blockgroup,481210215051,3031,33.07776209,-97.03120258
29591,blockgroup,390930806001,3032,41.39047971,-81.99505796
9361,blockgroup,510594526001,3036,38.7982338,-77.16029961
8032,blockgroup,60670071042,3037,38.66889837,-121.5160064
11582,blockgroup,410290016011,3038,42.29747041,-122.8388368
11693,blockgroup,121010320141,3040,28.17839479,-82.42009554
806002,blockgroup,261635646003,3042,42.30176752,-83.46588158
6535,blockgroup,550090214003,3043,44.32754545,-88.16399791
9238,blockgroup,482015512001,3044,29.98147062,-95.49909025
8411,blockgroup,60730188033,3045,33.27518363,-117.2118684
26861,blockgroup,420293028042,3047,39.99027282,-75.53185887
799192,blockgroup,191030004002,3057,41.63984686,-91.5857427
27500,blockgroup,191030004002,3057,41.63984686,-91.5857427
9713,blockgroup,481410011042,3059,31.82547732,-106.54794
9467,blockgroup,60371281021,3060,34.19180943,-118.4443557
12461,blockgroup,121270910011,3060,28.95763759,-81.23948261
805246,blockgroup,60371347101,3061,34.20650726,-118.5775568
573250,blockgroup,421190906001,3063,40.93903001,-76.91723791
8280,blockgroup,370250415021,3065,35.27628354,-80.6494311
615518,blockgroup,330110131002,3067,42.87107579,-71.45703266
27123,blockgroup,410670315142,3068,45.56041162,-122.8487303
658551,blockgroup,150030115003,3070,21.33283833,-158.0663427
13083,blockgroup,240338005092,3073,38.88914624,-76.76981873
10069,blockgroup,401430076182,3074,36.05246865,-95.87380239
6189,blockgroup,510310204011,3076,37.33159483,-79.22290222
9898,blockgroup,484910203241,3077,30.53949192,-97.86191151
8406,blockgroup,484910203241,3077,30.53949192,-97.86191151
805520,blockgroup,291892215062,3084,38.57559003,-90.61412704
9528,blockgroup,291892215062,3084,38.57559003,-90.61412704
248148,blockgroup,170190106033,3085,40.20376218,-88.37349784
806174,blockgroup,484910203181,3087,30.46836332,-97.82965526
805724,blockgroup,120010018062,3088,29.77416728,-82.61104121
620680,blockgroup,51430105062,3089,36.06428111,-94.29325067
798460,blockgroup,340410314011,3090,40.86399003,-74.81650241
7551,blockgroup,340210043103,3090,40.24202725,-74.59635169
6576,blockgroup,480291219061,3093,29.61825658,-98.44895988
800340,blockgroup,10890028021,3096,34.5982346,-86.5750894
435462,blockgroup,160550004022,3098,47.73393694,-116.9534608
7714,blockgroup,220630404022,3100,30.48521231,-90.83014967
10685,blockgroup,261390222061,3104,42.81316192,-86.05925446
600900,blockgroup,350010047173,3107,35.20109067,-106.6665003
5467,blockgroup,410050206003,3108,45.35850245,-122.6265972
676036,blockgroup,191690001002,3114,42.06720978,-93.64065317
216792,blockgroup,191690001002,3114,42.06720978,-93.64065317
614150,blockgroup,484530017162,3120,30.37307477,-97.79188732
11239,blockgroup,291892214221,3123,38.53595893,-90.48399369
7884,blockgroup,530610418121,3126,47.86879143,-122.2719451
244758,blockgroup,511539010121,3127,38.59587232,-77.32546898
12062,blockgroup,60710097072,3129,34.44379658,-117.2225875
805376,blockgroup,131210116193,3131,34.06447572,-84.23977662
805974,blockgroup,180890425031,3132,41.47843727,-87.34412254
805894,blockgroup,471570208202,3135,35.23222896,-89.67797551
243234,blockgroup,220510275012,3135,29.9375014,-90.23100975
13340,blockgroup,10030114014,3144,30.33839222,-87.7673923
